Date,Type,SubType,Txn Type, Payment Type,Merchant/Receiver/Sender,Category,Bank Name,Account Id,Account Type,Credit,Debit,Balance,Outstanding,Available Limit,Notes
2016/Jan/22 23:37:05,credit-transaction,income,cash-income,cash,"Palam Vihar",Others,Cash Spend,cash,cash,40000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:37:51,debit-transaction,expense,cash-spend,cash,"Gas",Gas,Cash Spend,cash,cash,0.0,250.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:38:29,debit-transaction,expense,cash-spend,cash,"Anjeet",Salory,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:38:44,credit-transaction,income,cash-income,cash,"B24d",Others,Cash Spend,cash,cash,2000.0,0.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:39:22,debit-transaction,expense,cash-spend,cash,"Sumit Paharganj",Hardware,Cash Spend,cash,cash,0.0,5000.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:43:57,debit-transaction,expense,cash-spend,cash,"Hardware",Hardware,Cash Spend,cash,cash,0.0,200.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:44:15,debit-transaction,expense,cash-spend,cash,"Home",Home,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:45:17,debit-transaction,expense,cash-spend,cash,"Milk",Home,Cash Spend,cash,cash,0.0,100.0,0.0,0.0,0.0,"null"
2016/Jan/22 23:45:30,debit-transaction,expense,cash-spend,cash,"Other",Other,Cash Spend,cash,cash,0.0,50.0,0.0,0.0,0.0,"null"
2016/Jan/23 00:08:43,debit-transaction,expense,cash-spend,cash,"Medicine",Home,Cash Spend,cash,cash,0.0,1500.0,0.0,0.0,0.0,"null"
2016/Jan/23 00:09:01,debit-transaction,expense,cash-spend,cash,"Gas",Home,Cash Spend,cash,cash,0.0,500.0,0.0,0.0,0.0,"null"
